patent_number	patent_title	patent_abstract
3987164	Method for prevention of pseudomonas aeruginosa infections	The invention involves vaccine preparations comprising cell wall protein component of Pseudomonas aeruginosa as active ingredient and a pharmaceutically acceptable carrier. The preparations are suitable for parenteral administration for prophylactic treatment of disease caused by infection of Pseudomonas aeruginosa. The cell wall protein component is characterized by the fact that the same exhibits low toxicity and without type-specificity to the variety of antigens of Pseudomonas aeruginosa.
3991051	[(Oxyalkyl)thioacetyl]cephalosporin derivatives	[(Oxyalkyl)thioacetyl] cephalosporin derivatives having the formula ##EQU1## wherein R is hydrogen, lower alkyl, phenyl-lower alkyl, tri(lower alkyl)silyl, a salt forming ion, or the group ##EQU2## R.sub.1 is hydrogen, lower alkyl, phenyl, thienyl or furyl; R.sub.2 and R.sub.6 each is hydrogen or lower alkyl; R.sub.3 and R.sub.5 each is lower alkyl, phenyl or phenyl-lower alkyl; and R.sub.4 is hydrogen, hydroxy, lower alkanoyloxy, lower alkoxy or lower alkylthio; are useful as antimicrobial agents. PAC SUMMARY OF THE INVENTION This invention relates to new [(oxyalkyl)thioacetyl]cephalosporin derivatives having the formula ##STR1## R represents hydrogen, lower alkyl, phenyl-lower alkyl, tri(lower alkyl)silyl, a salt forming ion or the group ##STR2## R.sub.1 represents hydrogen, lower alkyl, phenyl, thienyl or furyl; R.sub.2 and R.sub.6 each represents hydrogen or lower alkyl; R.sub.3 and R.sub.5 each represents lower alkyl, phenyl or phenyl-lower alkyl; and R.sub.4 represents hydrogen, hydroxy, lower alkanoyloxy, lower alkoxy or lower alkylthio. The especially preferred members within each group are as follows: R is hydrogen, alkali metal, diphenylmethyl or ##STR3## especially hydrogen, pivaloyloxy, sodium or potassium; R.sub.1 is hydrogen or phenyl; R.sub.2 is hydrogen; R.sub.3 is lower alkyl, especially methyl; R.sub.4 is hydrogen or acetoxy; and R.sub.5 is methyl or t-butyl. PAC DETAILED DESCRIPTION OF THE INVENTION The various groups represented by the symbols have the meanings defined below and these definitions are retained throughout this specification. The lower alkyl groups are the straight and branched chain hydrocarbon groups in the series from methyl to heptyl, the C.sub.1 to C.sub.4 groups and especially methyl and ethyl being generally preferred. The lower alkoxy and lower alkylthio groups are of the same type and the same preferences apply. The lower alkanoyloxy groups represented by R.sub.4 include the acyl radicals of lower fatty acids containing alkyl radicals of the type described above, e.g., acetoxy, propionoxy, butyryloxy, etc., the C.sub.1 to C.sub.4 members being preferred and acetoxy being especially preferred. The phenyl-lower alkyl radicals include a phenyl ring attached to a lower alkyl group of the kind described above like benzyl and phenethyl as well as those containing two phenyl groups such as diphenylmethyl. The salt forming ions represented by R are metal ions, e.g., alkali metal ions such as sodium or potassium, alkaline earth metal ions such as calcium or magnesium or an amine salt ion, e.g., a (lower alkyl)amine like methylamine or triethylamine. The new [(oxyalkyl)thioacetyl)cephalosporin derivatives of this invention are produced by reacting a 7-aminocephalosporanic acid compound, e.g., 7-aminocephalosporanic acid (7-ACA), 7-amino-3-desacetoxycephalosporanic acid (7-ADCA) and other derivatives, having the formula ##STR4## or derivatives thereof with an [(oxyalkyl)thio]acetic acid of the formula ##STR5## or an acid halide, anhydride including mixed anhydrides, activated esters or the like. The derivatives of II referred to include, for example, the triethylamine derivative, benzhydryl ester or the like. The acid halide of III is preferably the chloride. Coupling agents like dicyclohexylcarbodiimide or the like can also be used. A preferred method is the reaction between the 7-aminocephalosporanic acid compound and the [(oxyalkyl)-thio]acetic acid, for example, by dissolving or suspending the latter in an inert organic solvent such as chloroform, tetrahydrofuran, methylene chloride, dioxane, benzene or the like, and adding, at a reduced temperature of about 0.degree. to -20.degree. C about an equimolar amount of the 7-ACA or 7-ADCA compound, preferably in the form of its diphenylmethyl ester, in the presence of an activating compound such as dicyclohexylcarbodiimide. The product of the reaction is then isolated by conventional procedures, e.g., by filtration and concentration or evaporation of the solvent. The diphenylmethyl ester is converted to the free acid, e.g., with trifluoroacetic acid and anisole. Any of the salts can then be produced by conventional treatment, e.g., with potassium ethyl hexanoate, sodium bicarbonate or the like. Another preferred method involves the reaction of a 7-aminocephalosporanic acid compound with the acid halide of the [(oxyalkyl)thio]acetic acid in aqueous alkaline medium. When R is the acyloxymethyl group ##STR6## this group may be introduced into the 7-aminocephalosporanic acid moiety prior to the reaction with the [(oxyalkyl)thio]-acetic acid or derivative by treatment with one to two moles of a halomethyl ester of the formula ##STR7## wherein hal is halogen, preferably chlorine or bromine, in an inert organic solvent such as dimethylformamide, acetone, dioxane, benzene or the like, at about ambient temperature or below. The [(oxyalkyl)thio]acetic acid of formula III is produced by reacting a mercaptoacetic acid of the formula ##STR8## with a halogenated compound of the formula ##STR9## in the presence of a base like triethylamine in a solvent like tetrahydrofuran and then hydrolyzing the ester formed in the process. Alternatively, when the acid halide is used to react with the 7-aminocephalosporanic acid compound, an alkoxide R.sub.3 -OMe (wherein Me is a metal like sodium or potassium) is made to react with a haloester of the formula ##STR10## to obtain the intermediate of the formula ##STR11## Treatment with a base, e.g., an alkali metal hydroxide like potassium hydroxide, converts the ester to a salt which is then converted to the acid chloride with a halogenating agent like oxalyl chloride. Further process details are provided in the illustrative examples. Certain of the compounds of this invention may exist in different optically active forms. The various stereoisomeric forms as well as the racemic mixtures are within the scope of the invention. The compounds of this invention have a broad spectrum of antibacterial activity against both gram positive and gram negative organisms such as Staphylococcus aureus, Salmonella schottmuelleri, Pseudomonas aeruginosa, Proteus vulgaris, Escherichia coli and Streptococcus pyrogenes. They can be used as antibacterial agents to combat infections due to organisms such as those named above, and in general may be utilized in a manner similar to cephradine and other cephalosporins. For example, a compound of formula I or a physiologically acceptable salt thereof can be used in various animal species in an amount of about 1 to 150 mg/kg, daily, orally or parenterally, in single or two to four divided doses to treat infections of bacterial origin, e.g., 7.0 mg/kg is used in mice. Up to about 600 mg. of a compound of formula I or a physiologically acceptable salt thereof is incorporated in an oral dosage form such as tablets, capsules or elixirs or in an injectable form in a sterile aqueous vehicle prepared according to conventional pharmaceutical practice.
4021305	String culture inoculum	The present invention is concerned with a string culture inoculum comprising a string having stabilized cells of one of ______________________________________ Salmonella typhimurium ATCC 6994 Klebsiella pneumoniae ATCC 10031 Enterobacter cloacae ATCC 11367 Escherichia coli ATCC 25922 Citrobacter freundii ATCC 6750 Proteus vulgaris ATCC 881 Pseudomonas aeruginosa ATCC 15442 Shigella sonnei ATCC 11060 Serratia marcescens ATCC 14756 Staphylococcus aureus ATCC 25923 Staphylococcus epidermidis ATCC 17917 Streptococcus faicalis ATCC 10541 Streptococcus pyogenes ATCC 12202 ______________________________________ dispersed throughout, said string culture inoculum having a sufficient number of stabilized cells adhered thereto to produce at least 10.sup.5 cells per milliliter upon incubation in 3 milliliters of suitable broth at 37.degree. C. for 2 hours. The string culture inocula of the present invention are useful as quality control cultures for positive as well as negative controls in clinical bacteriology procedures and drug susceptibility testing.
4057544	.alpha.-Alkylsulfobenzyl penicillins	Novel penicillins of the formula ##STR1## wherein R is a branched chain alkyl group of from 3 to 14 carbon atoms, and their pharmaceutically acceptable salts, are easily absorbed in the blood and tissues through oral administration and show excellent antimicrobial activity against Gram-positive and Gram-negative bacteria, particularly against microorganisms of the genus Pseudomonas, such as Pseudomonas aeruginosa.
4065619	7-(.alpha.-Sulfoacylamido)cephalosporins	Novel cephalosporins of the formula, ##STR1## wherein R is a hydrogen atom or an alkyl, aryl or thienyl group, and R' is a group which constitutes together with the adjacent nitrogen atom a 5- or 6-membered ring containing 1 or 2 nitrogen atoms, which are effective particularly against Pseudomonas aeruginosa as well as against other Gram negative and positive microorganisms, for example, N-[7-(.alpha.-sulfophenylacetamido)ceph-3-em-3-ylmethyl] pyridinium 4-carboxylate, N-[7-(.alpha.-sulfo-3'-thienylacetamido)ceph-3-em-3-ylmethyl] pyridinium-4-carboxylate, and their pharmaceutically acceptable salts thereof. Sodium salt of the former is prepared by, e.g. reacting sodium 7-(.alpha.-sulfophenylacetamido) cephalosporanate with pyridine in water.
4072573	Pseudomonas aeruginosa broth	A broth medium for the detection of Pseudomonas aeruginosa in urine. The medium employs cetyl trimethylammonium bromide to inhibit growth of unwanted organisms that normally give positive results in tests for P. aeruginosa.
4079126	Method of preparing a component consisting of sugar, lipid and protein derived from Pseudomonas aeruginosa which possess anti-tumor and interferon inducing properties	This invention relates to a method of preparing original endotoxin protein of Pseudomonas aeruginosa. The invention relates more particularly to a method of preparing original endotoxin protein of Pseudomonas aeruginosa (hereunder abbreviated as OEP) by processing with either proteolytic enzyme or reductant, or further processing with proteolytic enzyme after it has been treated with reductant. The invention also relates to the original endotoxin protein derived from Pseudomonas aeruginosa.
4083959	Therapeutical method for treating infection of mink hemorrhagic pneumonitis	A therapeutic preparation of a bacterial component (designated as OEP and formally as CWP) derived from Pseudomonas aeruginosa possesses vaccine activity (the effective component being a lipoprotein of Pseudomonas aeruginosa) or the same containing antibiotics is effective in the treatment of mink hemorrhagic pneumonitis and bovine mastitis due to Pseudomonas aeruginosa.
4096245	Prophylactic preparation for treating mink infection caused by Pseudomonas aeruginosa	Mink infection caused by Pseudomonas aeruginosa can be prevented by administering to mink a prophylactic preparation in the form of vaccine whose effective component is a compound mainly consisting of protein and a small amount of lipid and sugar derived from Pseudomonas aeruginosa.
4132789	7-[2-(2-Imino-4-thiazolin-4-yl)-2-sulfoacetamido]cephalosporins and antibacterial compositions containing them	Novel cephalosporins shown by the general formula: ##STR1## wherein Y is an acyloxy group, a quaternary ammonium group or a group of the formula: --S--R in which R is a nitrogen-containing heterocyclic group, and pharmaceutically acceptable salts thereof have high antibacterial properties against Gram-positive and Gram-negative bacteria including Pseudomonas aeruginosa and Serratia marcescens.
4138554	7-[D-.alpha.-(4-Hydroxy-1,5-naphthyridine-3-carboxamido)-.alpha.-phenyl (and p-hydroxyphenyl)acetamido]-3-carbamoyloxymethyl-3-cephem-4-carboxylic acids	7-[D-.alpha.-(4-hydroxy-1,5-naphthyridine-3-carboxyamido)-.alpha.-phenyl (and p-hydroxyphenyl) acetamido]-3-carbamoyloxymethyl-3-cephem-4-carboxylic acids were synthesized and found to have potent antibacterial activity in vitro especially against many strains of Pseudomonas aeruginosa.
4157389	Mixed vaccine against infections by pseudomonas aeruginosa	A three component-mixed vaccine against infections caused by Pseudomonas aeruginosa which comprises as the antigens an infection-protective common antigen OEP (Original Endotoxin Protein) obtained from P. aeruginosa, an elastase toxoid obtained from P. aeruginosa and a protease toxoid obtained from P. aeruginosa.
4160023	Toxoids derived from protease and elastase of Pseudomonas aeruginosa and production thereof	Toxoids derived from protease and elastase of Pseudomonas aeruginosa which are effective to prevent infections caused by Pseudomonas aeruginosa and production thereof.
4160830	Cephalosporins	A method of combating bacterial infections in humans involves the administration of an antibacterially effective amount of a compound of the formula: ##STR1## wherein R is phenyl or thienyl group, and R' is a group which constitutes together with the adjacent nitrogen atom a pyridinium group that is unsubstituted or substituted by carbamoyl, or a 4'-methyl-5'-(.beta.-hydroxyethyl)-thiazolium or a pharmaceutically acceptable salt thereof, to a patient. This method is effective particularly against Pseudomonas aeruginosa as well as against other Gram negative and positive microorganisms.
4169140	Antibiotics SF-1771 substance and SF-1771-B substance as well as the production of these substances	A new antibiotic SF-1771 substance is produced by cultivating a new strain, Streptomyces toyocaensis SF-1771, in a liquid culture medium under aerobic conditions. This antibiotic may be isolated from the fermentation broth by treating the broth filtrate with a synthetic adsorbent resin for adsorption of the active compound and eluting the resin with an aqueous alcohol or aqueous acetone, followed by chromatographic purification. SF-1771 substance is a copper-containing antibiotic which shows antibacterial activity against Escherichia coli, Salmonella typhi, Pseudomonas aeruginosa, Staphylococcus aureus and Bacillus subtilis. Removal of the copper component from SF-1771 substance by treatment with hydrogen sulfide, an alkali metal sulfide or a copper-chelating agent gives SF-1771-B substance containing no copper component which shows antibacterial activity as high as but a toxicity lower than SF-1771 substance.
4169888	Composition of matter and process	Novel antibiotic CC-1065 producible in a fermentation under controlled conditions using the new microorganism Streptomyces zelensis, NRRL 11,183. This antibiotic is active against Gram-positive bacteria, for example, Staphylococcus aureus, Bacillus subtilis, Streptococcus pyogenes, Sarcina lutea, and Streptococcus faecalis. It is also active against Gram-negative bacteria, for example, Escherichia coli, Proteus vulgaris, Pseudomonas aeruginosa, Klebsiella pneumoniae, and Salmonella pullorum. Thus, antibiotic CC-1065 can be used in various environments to eradicate or control such bacteria.
4182868	7-Methoxycephalosporin derivatives	A compound of the formula: ##STR1## wherein R.sup.2 is hydrogen or a halogen and R.sup.3 stands for methyl, acetoxymethyl, carbamoyloxymethyl, an alkoxymethyl, an alkylthiomethyl, 2-carboxy-1-ethenyl, or a heterocyclic thiomethyl, or a pharmaceutically acceptable salt thereof, is found to have a broad antimicrobial spectrum and, in particular, effective against Gram-negative bacteria including Escherichia coli, Proteus vulgaris, Pseudomonas aeruginosa, Serratia marcescense as well as Gram-positive ones including antibiotic resistant strains. Thus, these compounds may be used for antimicrobial agents in therapeutical purposes.
4198504	[3-(Pyridinium)-7-(naphthyiridinyl carbonylamino)acetamido]cephalosporanic acid derivatives	7-[.alpha.-(4-hydroxy-1,5-naphthyridine-3-carboxamido)-.alpha.-phenyl or thienyl (and substituted phenyl) acetamido]-3-(pyridiniummethyl)-3-cephem-4-carboxylates having on the pyridine ring an acidic group which is preferably --COOH or --SO.sub.3 H and also, if desired, having one or two methylene groups together with or without a hetero atom between the pyridine ring and the acidic group were synthesized and found to have potent antibacterial activity in vitro especially against many strains of Pseudomonas aeruginosa and also high solubility in water.
4199444	Process for decolorizing pulp and paper mill wastewater	A process of decolorizing pulp and paper mill wastewater comprising treating wastewater effluent from a pulp or paper mill with a novel microbial strain of Pseudomonas aeruginosa under aerobic conditions.
4199602	Control of mastitis and compositions therefor	"Neutral to mildly acidic externally-applied mastitis control agents based upon antimicrobial nitroalkanols (e.g. 2-bromo-2-nitropropane-1,3-diol) can be made more effective against Pseudomonas aeruginosa through ""potentiation"" with an aminocarboxylic-type chelating agent. The chelating agent is believed to improve cell-wall permeability, even at a pH well below 7."
4217450	Imidazoledicarboxylic acid substituted cephalosporin derivatives	Compounds having the following formula: ##STR1## wherein X is a radical selected from the group consisting of hydrogen, halogen, hydroxy, mercapto, methyl and amino. PA1 Y is a radical selected from the group consisting of hydrogen and hydroxy, and PA1 A is an organic compound residue selected from the group consisting of having the formula: ##STR2## wherein Z is a radical selected from the group consisting hydrogen, acyloxy, carbamoyloxy, (heteroaromatic) thio, pyridinium, quinolinium and picolinium; and salts thereof, are useful as anti-bacterial agents active against Pseudomonas aeruginosa.
4229348	Penicillanic acid derivatives	Penicillanic acid derivatives which have an excellent antibacterial action particularly against bacteria belonging to family Pseudomonas aeruginosa and are represented by the formula ##STR1## wherein R.sub.1, R.sub.2, and R.sub.3 and n are as defined above, and salts thereof; and a process for preparing the same are disclosed.
4237051	Stereospecific production of 6- or 7-carbon-substituted-.beta.-lactams	"Reaction of 6- or 7-diazo-.beta.-lactams with allylic halides in the presence of a catalytic amount of metallic copper or a copper salt affords 6- or 7-carbon-substituted-.beta.-lactams with the desired stereochemical configuration at the 6- or 7-position. Subsequent reduction with a trialkyl stannane affords useful intermediates for further syntheses affording 6- or 7-carbon-substituted-.beta.-lactams. The present invention relates to a process for the production of 6- or 7-carbon-substituted-.beta.-lactams having the desired stereochemical configuration at the 6- or 7-position. More particularly, this invention provides a process for the preparation of a .beta.-lactam of the formula ##STR1## wherein R.sub.1 is cyano or COOR.sub.2 wherein R.sub.2 is a readily removable ester-forming moiety, hydrogen or an alkali-metal cation; PA0 R.sub.3 and R.sub.4 are independently hydrogen, lower alkyl, aryl or aralkyl; PA0 Z is a group of the formula ##STR2## wherein R.sub.5 is hydrogen, lower alkyl or aralkyl; and the dotted line indicates the optional presence of a double bond; which comprises PA1 (1) reacting a diazo-.beta.-lactam of the formula ##STR3## wherein Y is a sulfur or an oxygenated sulfur atom and Z, R.sub.1, R.sub.3, and R.sub.4 are as hereinbefore defined; with an allyl halide of the formula ##STR4## wherein R.sub.3 and R.sub.4 are as hereinbefore defined and PA0 X is bromo or iodo; in the presence of a catalytic amount of metallic copper or a copper salt; and where Y is an oxygenated sulfur atom, followed by transformation of the resultant oxygenated sulfur intermediate to a compound wherein Y is a sulfur atom; and (2) subjecting the resultant intermediate of the formula ##STR5## wherein X, Z, R.sub.1, R.sub.3, and R.sub.4 are as hereinabove defined, to reduction with a trialkyl stannane to afford the compound of formula I. The lower alkyl groups referred to contain 1 to 6 carbon atoms and are exemplified by methyl, ethyl, propyl, butyl, pentyl, hexyl and the corresponding branched-chain isomers thereof. The lower alkoxy groups referred to above likewise contain 1 to 6 carbon atoms and are exemplified by methoxy, ethoxy, propoxy, and the like. The term ""aryl"" as used herein refers to phenyl substituted by one or more substituent groups selected from among chloro, bromo, fluoro, lower alkyl, hydroxy, nitro, amino, aminomethyl, lower monoalkylamino, lower dialkylamino, lower alkoxy and carboxy. Such aryl groups represented by R.sub.1 can be, for example, 4-hydroxyphenyl, 3,4-dichlorophenyl, 2,6-dimethoxyphenyl, 4-methylphenyl, 2-fluorophenyl, 4-carboxyphenyl, 3-nitrophenyl, 4-aminophenyl, 3-aminophenyl, 4-dimethylaminophenyl, 4-aminomethylphenyl and 4-ethoxyphenyl. The term ""aralkyl"" encompasses aryl-substituted lower alkyl groups such as benzyl, phenethyl, p-fluorobenzyl, o-tolylethyl and m-hydroxy-phenethyl. The process of this invention initially involves the reaction of a diazo-.beta.-lactam of formula II and the allyl halide of formula III in the presence of a catalytic amount of metallic copper or a copper salt to induce the decomposition of the diazo-.beta.-lactam at temperatures of about 0.degree.-50.degree. C. to provide the intermediate of formula IV. The diazo-.beta.-lactam utilizable in this step of the invention may be any type of readily removable ester-blocked acid, i.e., the compound of formula II wherein R.sub.1 is COOR.sub.2 or a nitrile, i.e., the compound of formula II wherein R.sub.1 is cyano. Preferably, benzyl or benzhydryl esters are employed in the reaction wherein R.sub.1 is COOR.sub.2. The starting materials of formula II wherein Y is oxygenated sulfur are preferred due to the stability of the starting compound. However, the reaction using the equivalent sulfide also proceeds with good yields and avoids the need for a subsequent deoxygenation step. The allyl halides of formula III utilizable in the present invention are those wherein the halogen is iodine or bromine with iodine being most particularly preferred. The allyl halide of formula III may be substituted by lower alkyl, aryl or aralkyl groups. Those compounds wherein R.sub.3 and R.sub.4 are methyl or phenyl are preferred. The copper compound utilizable as a catalyst for this step of the instant invention may be almost any copper salt or finely divided elemental copper. Preferably, 1-10 mole percent of the copper or copper salt is utilized. The most preferred catalysts are cuprous chloride and copper (II)-2,4-pentanedioate. In order to maximize the yield for this step of the instant invention, it is preferable to use a large excess of the allyl halide of formula III. Most preferably, allyl bromide or allyl iodide is used as the reaction medium. Substituted allyl halides of formula III are preferably diluted with a non-polar co-solvent such as methylene chloride. Polar solvents may also be used, e.g., dimethylformamide, dimethylsulfoxide or acetonitrile, but these provide poorer yields. The reaction is preferably carried out at room temperature; however, depending on the nature of the starting materials, the reaction temperatures may range from about 0.degree. to 50.degree. C. Occasionally, warming to about 40.degree. C. is utilized to initiate the reaction which is then continued without further heating. The stereochemistry at C-6 or C-7 of the intermediate of formula IV is generally a mixture of alpha and beta compounds. Generally, use of the bromides gives a higher ratio of beta to alpha compounds, i.e., 5 to 6:1. Use of the iodides gives more approximately equal amounts of the alpha and beta isomers. The reduction of step 2 to afford the cis product of formula I is accomplished using trialkyl stannane (trialkyl tin hydride). Preferably, tri-n-butyl stannane is utilized. The intermediate of formula IV is heated at about 60.degree.-100.degree. C. with 1-2 equivalents of the tin hydride in an inert solvent. Preferred solvents are tetrahydrofuran, benzene and toluene. Typically, the product is separated by chromatography in yields of greater than 80%. The compounds of formula II wherein Y is an oxygenated sulfur atom may be obtained from the corresponding compounds wherein Y is sulfur by any of the conventional oxidation procedures, e.g., ozone, iodobenzene dichloride in aqueous pyridine, etc. An oxygenated sulfur penicillin compound, i.e., wherein Z is ##STR6## may then be converted to the corresponding cephalosporin, i.e., wherein Y is S and Z is ##STR7## by various literature methods. See, for instance, Flynn, ""Cephalosporins and Penicillins"", Academic Press, pp. 193-199 and 670-673 (1972). By such methods benzyl 6.beta.-allyl-6.alpha.-bromopenicillanate-1.beta.-oxide may be converted to benzyl 7.beta.-allyl-6.alpha.-bromo-3-methyl-3-cephem-4-carboxylate. The sulfoxide compound is also particularly useful wherein it is desired to convert a mixture of 2- and 3-cephem compounds to a pure 3-cephem compound. The 6- or 7-diazo starting materials of formula II are preparable via a variety of literature methods or variations thereof. A preferred method involves degradation of the penicillin or cephalosporin side chain via the N-nitroso derivative as described by Hausler and Sigg, Helv. Chim. Acta., 1327 (1967); and Sheehan, J. Org. Chem., 39, 1444 (1974). This process involves treatment of the penicillin or cephalosporin, e.g., benzylpenicillin benzyl ester or benzhydryl ester, to form the N-nitroso derivative, followed by decomposition of the nitroso amide side chain with methylene chloride-pyridine or methylene chloride at about 40.degree. C. to afford the diazo compound. An improvement of this process, omitting the pyridine and allowing the reaction to proceed at room temperature in a polar solvent, e.g., dimethylsulfoxide or dimethylformamide, affords a cleaner reaction and better conversion, i.e., >90%. This reaction sequence may be represented by the following scheme: ##STR8## wherein Y, Z and R.sub.1 are as hereinbefore defined. Preferable by this route are the following: PA0 benzyl 6-diazopenicillanate; PA0 benzhydryl 6-diazopenicillanate; PA0 6-diazopenicillanonitrile; and PA0 benzyl 7-diazo-3-methylcephalosporanate. Another modification of the decomposition step in the preparation of the starting materials of formula II is to utilize triphenylphosphine and water in place of the methylene chloride and pyridine according to the method of Sheehan, J. Org. Chem., 42, 1012 ( 1977) to afford the hydrazone of the formula: ##STR9## Oxidation of this hydrazone by the method of U.S. Pat. No. 3,880,837 affords the desired diazo compound. This route is particularly preferred for the cephalosporin starting materials of this invention. Preparable by this route are the following: PA0 benzhydryl 7-diazo-3-methylcephalosporinate; PA0 benzhydryl 7-diazo-3-acetoxymethylcephalosporinate; and PA0 benzhydryl 6-diazopenicillanate. An additional method for preparing the 6- or 7-diazo compounds of formula II involves diazotisation of the corresponding amino compounds using nitrous acid according to the procedure originally carried out by Hausler and Sigg, Helv. Chim. Acta., 1327 (1967) and further delineated in J. Amer. Chem. Soc., 94, 1408 (1972) and J. Org. Chem., 41, 1578 (1976). Once prepared, the compounds of formula I are utilizable to prepare various 6- or 7-substituted-.beta.-lactams having useful antimicrobial activity, many of which are known in the art. For instance, ozonolysis of 6.beta.-(allyl)penicillanonitrile, benzyl 6.beta.-(allyl)penicillanate or benzhydryl 6.beta.-allylpenicillanate affords 6.beta.-(formylmethyl)-penicillanonitrile, benzyl 6.beta.-(formylmethyl)penicillanate and benzhydryl 6.beta.-(formylmethyl)penicillanate, respectively. This ozonolysis is carried out according to standard methodology. The aldehyde obtained by the ozonolysis described in the preceding paragraph may then be subjected to reduction utilizing a mild reducing agent such as sodium borohydride to afford the corresponding alcohol. For instance, obtainable by this reaction is 6.beta.-(2-hydroxyethyl)penicillanonitrile, benzyl 6.beta.-(2-hydroxyethyl)penicillanate and benzhydryl 6.beta.-(2-hydroxyethyl)penicillanate. The ester group of the preceding two compounds may, of course, be removed utilizing standard hydrogenolysis typically with a palladium catalyst to afford the resulting free acids. Workup with a weak base, e.g., potassium carbonate or sodium carbonate, will afford the potassium or sodium salts, e.g., potassium 6.beta.-(2-hydroxyethyl)penicillanate or sodium 6.beta.-(2-hydroxyethyl)penicillanate. Oxidation of the aldehydes obtainable by the ozonolysis procedure affords the corresponding carboxylic acids. For instance, benzhydryl 6.beta.-(formylmethyl)penicillanate treated with chromic acid in acetone and water affords benzhydryl 6.beta.-(carboxymethyl)penicillanate. Reaction of the foregoing carboxylic acids with suitable azides provides various homo-penicillanates. For instance, benzhydryl 6.beta.-(carboxymethyl)penicillanate treated with diphenylphosphoryl azide and triethylamine at a reaction temperature of about 80.degree. C. according to the method of Ninomiya, et. al., Chem. Pharm. Bull. Japan, 22, 1398 (1974), affords benzhydryl 6.beta.-(carbonylaminomethyl)penicillanate which is typically not isolated. Treatment of this intermediate with the desired acid or alcohol provides homopenicillanates which then may be optionally deblocked. Obtainable in this method are potassium 6.beta.-(phenylacetamidomethyl)penicillanate and potassium 6.beta.-(ethoxycarbonylaminomethyl)penicillanate. Treatment of benzhydryl 6.beta.-(carbonylaminomethyl)penicillanate with trichloroethanol followed by a zinc/acetic acid reduction affords benzhydryl 6.beta.-(aminomethyl)penicillanate. Conventional deblocking of this compound then affords 6.beta.-(aminomethyl)penicillanic acid. Several of the foregoing compounds are described by Sheehan, et. al. as having useful and interesting antimicrobial activity in German Pat. Nos. 2,416,492 and 2,643,085. However, 6.beta.-(aminomethyl)penicillanic acid has not heretofore been described in any publication and is therefore a novel compound. The 6.beta.-(aminomethyl)penicillanic acid produced by the process of this invention possesses antibacterial activity. Additionally, it is a penicillinase inhibitor which may be used concomitantly with other penicillin-type antibiotics in infection therapy. Thus, when tested in standardized microbiological assays, this compound exhibits activity vis-a-vis such organisms as Staphylococcus aureus, Klebsiella, Bacillus subtilis, and Pseudomonas aeruginosa at test levels of 0.1 to 100 .mu.cg/ml. Thus, as antibacterial agents this compound is conventionally formulated for oral, intramuscular, intravenous or topical therapy. Thus, the present invention includes within its scope pharmaceutical compositions comprising an antibacterially effective amount of the novel 6.beta.-(aminomethyl)penicillanic acid with a compatible pharmaceutical carrier therefor, and a method of using such compositions for the treatment of microbial infections. The dosage administered of this compound is dependent upon the age and weight of the animal species being treated, the mode of administration, and the type and severity of bacterial infection being prevented or reduced. Typically, the dosage administered per day will be in the range of 100-5000 mg with 500-1000 mg being preferred. For oral administration, this compound may be formulated in the form of tablets, capsules, elixirs or the like. For parenteral administration it may be formulated into solutions or suspensions for intramuscular injection. Topical formulations include creams, ointments, gels and the like."
4259444	Microorganisms having multiple compatible degradative energy-generating plasmids and preparation thereof	Unique microorganisms have been developed by the application of genetic engineering techniques. These microorganisms contain at least two stable (compatible) energy-generating plasmids, these plasmids specifying separate degradative pathways. The techniques for preparing such multi-plasmid strains from bacteria of the genus Pseudomonas are described. Living cultures of two strains of Pseudomonas (P. aeruginosa [NRRL B-5472] and P. putida [NRRL B-5473]) have been deposited with the United States Department of Agriculture, Agricultural Research Service, Northern Marketing and Nutrient Research Division, Peoria, Ill. The P. aeruginosa NRRL B-5472 was derived from Pseudomonas aeruginosa strain 1c by the genetic transfer thereto, and containment therein, of camphor, octane, salicylate and naphthalene degradative pathways in the form of plasmids. The P. putida NRRL B-5473 was derived from Pseudomonas putida strain PpG1 by genetic transfer thereto, and containment therein, of camphor, salicylate and naphthalene degradative pathways and drug resistance factor RP-1, all in the form of plasmids.
4266035	Process for decolorizing pulp and paper mill wastewater and microorganism capable of same	A process of decolorizing pulp and paper mill wastewater comprising treating wastewater effluent from a pulp or paper mill with a novel microbial strain of Pseudomonas aeruginosa under aerobic conditions; and the novel microorganism of the strain Pseudomonas aeruginosa.
4267112	Antibiotic U-58,431	Novel antibiotic U-58,431 producible in a fermentation under controlled conditions using a biologically pure culture of the microorganism Streptomyces helicus Dietz and Li sp. n., NRRL 11461. This antibiotic is active against various Gram-positive bacteria, for example, Staphylococcus aureus, Streptococcus hemolyticus, and Streptococcus faecalis. It is also active against various Gram-negative bacteria, for example, Escherichia coli, Proteus vulgaris, Klebsiella pneumoniae, Pseudomonas aeruginosa, and Salmonella schottmuelleri. It has strong activity against Diplococcus pneumoniae. Thus, antibiotic U-58,431 can be used in various environments to eradicate or control such bacteria.
4269942	Process for preparing acyl-CoA synthetase LCF-18	Acyl-CoA synthetase, having a high activity to C.sub.16 -C.sub.18 long chain fatty acids, is obtained by cultivating Pseudomonas aeruginosa IFO 3919. Pseudomonas aeruginosa IFO 3919 can produce acyl-CoA synthetase LCF-18 in large quantities, and the acyl-CoA synthetase LCF-18 produced by Pseudomonas aeruginosa IFO 3919 is very stable in storage.
